date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:42	286/286	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202012%2013:26:21%20GMT	http://cplusplus.com/robots.txt		(from )
18:28:43	26754/26754	---M--	200	added ('OK')	text/html	etag:1328706975	http://cplusplus.com/reference/iostream/	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/reference/iostream/index.html	(from )
18:28:43	13051/13051	---M--	200	added ('OK')	text/css	etag:%2229a8005-32fb-4b80bd0330c00%22	http://cplusplus.com/main29g.css	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/main29g.css	(from )
18:28:44	36583/36583	---M--	200	added ('OK')	application/x-javascript	etag:%222b48166-8ee7-4a7a04d388bc0%22	http://cplusplus.com/main29f.js	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/main29f.js	(from )
18:28:44	269/269	---M--	200	added ('OK')	image/png	etag:%222b60045-10d-4a6499a46d780%22	http://cplusplus.com/ico/16new.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/ico/16new.png	(from )
18:28:45	680/680	---M--	200	added ('OK')	image/png	etag:%222b60025-2a8-4a6499b68c240%22	http://cplusplus.com/ico/16edit.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/ico/16edit.png	(from )
18:28:46	9268/9268	---M--	200	added ('OK')	image/png	etag:%222b60065-2434-49df58db76f40%22	http://cplusplus.com/img/cpp-logo.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/img/cpp-logo.png	(from )
18:28:47	1647/1647	---M--	200	added ('OK')	image/gif	etag:%222b60064-66f-49df58db76f40%22	http://cplusplus.com/img/waitblue.gif	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/img/waitblue.gif	(from )
18:28:47	11642/11642	---M--	200	added ('OK')	text/javascript	date:Mon,%2006%20Feb%202012%2019:16:41%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/My%20Web%20Sites/Iotream%20Library/pagead2.googlesyndication.com/pagead/show_ads.js	(from )
18:28:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Feb%202012%2013:26:27%20GMT	http://cplusplus.com/reference/iostream/cin.html	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/reference/iostream/cin.7.delayed	(from )
18:28:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Feb%202012%2013:26:28%20GMT	http://cplusplus.com/reference/iostream/cout.html	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/reference/iostream/cout.8.delayed	(from )
18:28:48	8813/8813	---M--	200	added ('OK')	image/gif	etag:%222b60062-226d-49df58da82d00%22	http://cplusplus.com/img/iostream.gif	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/img/iostream.gif	(from )
18:28:49	22678/-1	---M--	200	added ('OK')	text/javascript	date:Thu,%2026%20Jan%202012%2001:38:48%20GMT	http://www.google-analytics.com/urchin.js	C:/My%20Web%20Sites/Iotream%20Library/www.google-analytics.com/urchin.js	(from )
18:28:50	293/293	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202012%2013:26:29%20GMT	http://cplusplus.com/ico/treevline.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/ico/treevline.b.delayed	(from http://cplusplus.com/reference/iostream/)
18:28:50	341/341	---M--	200	added ('OK')	image/png	etag:%222b60066-155-49df58db76f40%22	http://cplusplus.com/img/cpp-headerbg.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/img/cpp-headerbg.png	(from http://cplusplus.com/reference/iostream/)
18:28:51	890/890	---M--	200	added ('OK')	image/png	etag:%222b60067-37a-49df58dc6b180%22	http://cplusplus.com/img/cpp-contbg.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/img/cpp-contbg.png	(from http://cplusplus.com/reference/iostream/)
18:28:52	149/149	---M--	200	added ('OK')	image/gif	etag:%222b60060-95-49df58d98eac0%22	http://cplusplus.com/img/blue.gif	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/img/blue.gif	(from http://cplusplus.com/reference/iostream/)
18:28:53	1296/1296	---M--	200	added ('OK')	image/png	etag:%222b600ad-510-4b5c58a38b6c0%22	http://cplusplus.com/ico/cpp11.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/ico/cpp11.png	(from http://cplusplus.com/reference/iostream/)
18:28:54	13335/13335	---M--	200	added ('OK')	image/png	etag:%222b60097-3417-4a6499adf6e00%22	http://cplusplus.com/ico/bg728blue.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/ico/bg728blue.png	(from http://cplusplus.com/reference/iostream/)
18:28:55	1088/1088	---M--	200	added ('OK')	image/png	etag:%222b6001a-440-4a6499adf6e00%22	http://cplusplus.com/ico/button75x20.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/ico/button75x20.png	(from http://cplusplus.com/reference/iostream/)
18:28:55	1193/1193	---M--	200	added ('OK')	image/png	etag:%222b6001b-4a9-4a6499aeeb040%22	http://cplusplus.com/ico/button100x20.png	C:/My%20Web%20Sites/Iotream%20Library/cplusplus.com/ico/button100x20.png	(from http://cplusplus.com/reference/iostream/)
